"subject","trial_num","step2resp","step1resp","step2state","reward"
"EEGTDPRJ0104F391",111,1,1,3,0
"EEGTDPRJ0104F391",112,1,1,3,1
"EEGTDPRJ0104F391",113,2,1,2,1
"EEGTDPRJ0104F391",114,2,1,2,1
"EEGTDPRJ0104F391",115,NA,1,3,NA
"EEGTDPRJ0104F391",116,2,1,2,1
"EEGTDPRJ0104F391",117,NA,NA,NA,NA
"EEGTDPRJ0104F391",118,2,1,2,1
"EEGTDPRJ0104F391",119,2,1,2,1
"EEGTDPRJ0104F391",120,1,1,3,0
"EEGTDPRJ0104F391",121,1,1,3,1
"EEGTDPRJ0104F391",122,2,1,2,1
"EEGTDPRJ0104F391",123,1,1,3,0
"EEGTDPRJ0104F391",124,2,1,2,1
"EEGTDPRJ0104F391",125,1,1,3,1
"EEGTDPRJ0104F391",126,2,1,2,0
"EEGTDPRJ0104F391",127,2,1,2,0
"EEGTDPRJ0104F391",128,1,1,3,1
"EEGTDPRJ0104F391",129,1,1,3,1
"EEGTDPRJ0104F391",130,1,1,3,0
"EEGTDPRJ0104F391",131,1,1,3,1
"EEGTDPRJ0104F391",132,2,1,2,1
"EEGTDPRJ0104F391",133,2,1,2,0
"EEGTDPRJ0104F391",134,1,1,3,1
"EEGTDPRJ0104F391",135,2,1,2,1
"EEGTDPRJ0104F391",136,1,1,3,1
"EEGTDPRJ0104F391",137,2,1,2,0
"EEGTDPRJ0104F391",138,2,1,2,0
"EEGTDPRJ0104F391",139,2,1,2,1
"EEGTDPRJ0104F391",140,1,1,3,1
"EEGTDPRJ0104F391",141,2,1,2,1
"EEGTDPRJ0104F391",142,2,1,2,1
"EEGTDPRJ0104F391",143,2,1,2,1
"EEGTDPRJ0104F391",144,2,1,2,0
"EEGTDPRJ0104F391",145,2,1,2,0
"EEGTDPRJ0104F391",146,1,1,3,1
"EEGTDPRJ0104F391",147,2,1,2,0
"EEGTDPRJ0104F391",148,2,1,2,0
"EEGTDPRJ0104F391",149,2,1,2,0
"EEGTDPRJ0104F391",150,2,1,2,1
"EEGTDPRJ04E989C4",1,1,1,2,0
"EEGTDPRJ04E989C4",2,NA,NA,NA,NA
"EEGTDPRJ04E989C4",3,1,1,2,1
"EEGTDPRJ04E989C4",4,1,2,2,0
"EEGTDPRJ04E989C4",5,NA,NA,NA,NA
"EEGTDPRJ04E989C4",6,1,1,2,1
"EEGTDPRJ04E989C4",7,2,2,2,0
"EEGTDPRJ04E989C4",8,1,1,2,0
"EEGTDPRJ04E989C4",9,NA,NA,NA,NA
"EEGTDPRJ04E989C4",10,2,2,3,0
"EEGTDPRJ04E989C4",11,1,1,2,1
"EEGTDPRJ04E989C4",12,2,2,3,0
"EEGTDPRJ04E989C4",13,2,2,2,0
"EEGTDPRJ04E989C4",14,1,2,2,1
"EEGTDPRJ04E989C4",15,NA,NA,NA,NA
"EEGTDPRJ04E989C4",16,1,1,2,1
"EEGTDPRJ04E989C4",17,1,2,3,1
"EEGTDPRJ04E989C4",18,1,2,3,1
"EEGTDPRJ04E989C4",19,2,2,3,1
"EEGTDPRJ04E989C4",20,2,2,3,0
"EEGTDPRJ04E989C4",21,1,1,2,0
"EEGTDPRJ04E989C4",22,1,1,2,1
"EEGTDPRJ04E989C4",23,2,2,2,0
"EEGTDPRJ04E989C4",24,2,1,3,1
"EEGTDPRJ04E989C4",25,2,1,3,0
"EEGTDPRJ04E989C4",26,2,1,3,0
"EEGTDPRJ04E989C4",27,2,2,3,0
"EEGTDPRJ04E989C4",28,2,2,3,0
"EEGTDPRJ04E989C4",29,1,2,2,1
"EEGTDPRJ04E989C4",30,1,2,2,1
"EEGTDPRJ04E989C4",31,1,1,2,1
"EEGTDPRJ04E989C4",32,1,1,2,1
"EEGTDPRJ04E989C4",33,2,2,3,0
